家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先
6.2,99201682,2022年12月06日,2022年12月20日,福岡市南区那の川１丁目13－11  周辺mapを見る,小串ビル  406,西鉄天神大牟田線西鉄平尾駅 徒歩13分 那の川バス停 徒歩3分 ,35.6㎡ / 約10.77坪,,1LDK,洋 6, 南,,,,空無,,　,,,無,1ヶ月,,無,,5000円,,無,有 全保連　（５０％）※契約者や条件によっては、内容が変更になる場合があります。,,無,無,,,２４時間安心サポート：600円 / 月町費：300円 / 月保険・口座振替料等：1990円 / 月バイク置場　有：1100円 / 月,,2年,,,,ＲＣ,,,地上5階建,4階部分,1972[S47]年1月,空家,即時　,都市ガス　 エアコン　 バス・トイレ別　 温水洗浄便座　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　,閑静住宅街　,,代理,,"
"
7.7,98677566,2022年12月06日,2022年12月20日,福岡市博多区博多駅前１丁目28-33  mapを見る,アルファコンフォート博多  1109,福岡市空港線博多駅 徒歩8分 駅までmap 福岡市空港線祇園駅 徒歩5分 駅までmap 福岡市箱崎線呉服町駅 徒歩14分 駅までmap ,24.33㎡ / 約7.36坪,,ワンルーム,, 南,,,,空有　2万円,,　,,,無,2ヶ月,,無,,2万5000円,,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,給湯料：5000円オゾン消毒費：1万8000円,,,,2年,,,,ＲＣ,,,地上11階建,11階部分,1996[H8]年2月,空家,相談　,エアコン　 ボイラー式給湯システム　 ＢＳ端子　 ＣＳ　 洗濯機置場　 室内洗濯機置場　 洗濯乾燥機　 照明器具付き　 エレベーター　 駐輪場　 24時間セキュリティ　,法人限定　 法人契約希望　,,貸主,,"
"
3,99277147,2022年12月05日,2022年12月19日,福岡市東区三苫２丁目1-38  mapを見る,ボンヌ・シャンス鷹  105,西日本鉄道貝塚線三苫駅 徒歩15分 駅までmap ,壁芯23.44㎡ / 約7.09坪,,1K,洋8,,,,,空有　5500円,,【 屋根状況　屋根なし 】　,,,無,無,実費,無,,無,無,無,有 ジェイリース※契約者や条件によっては、内容が変更になる場合があります。,家賃総額80％～,有、17000円、2年、東京海上ウエスト少額短期保険（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代：1万3200円,,町内会費：100円 / 月安心サポート：700円 / 月,,2年,,巡回,,木造,,,地上2階建,1階部分,1998[H10]年1月,居住中,相談　（11/30退去予定）,プロパンガス　 冷房　 暖房　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 収納スペース　 洗濯機置場　 室内洗濯機置場　 ロフト　 フローリング　 照明器具付き　 バルコニー　 ＴＶモニタ付きインターホン　 駐輪場　 ＣＡＴＶインターネット　 敷地内ゴミ置き場　,ペット不可　 日当り良好　 閑静住宅街　,閑静な住宅街です,代理,,"
"
4.2,99309645,2022年12月06日,2022年12月20日,福岡市博多区博多駅南１丁目5-4  mapを見る,ヤマトドリーム  105,東海道・山陽新幹線博多駅 徒歩9分 駅までmap 福岡市空港線博多駅 徒歩9分 駅までmap ,18.1㎡ / 約5.48坪,,ワンルーム,洋 8.5,,,,,無,,　,,,無,1ヶ月,,無,,無,2000円,400円,有 全保連株式会社　【保証料：月額総賃料の１００％】※契約者や条件によっては、内容が変更になる場合があります。,,有、20000円、2年、借家人賠償付火災保険（例）※契約者や条件によっては、内容が変更になる場合があります。,11000円 ,室内消毒：1万1000円エアコンクリーニング代：1万1000円,,２４時間安心サポート：880円 / 月,,2年,,巡回,,木造,,,地上2階建,1階部分,2000[H12]年7月,空家,相談　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 収納スペース　 システムキッチン　 洗濯機置場　 ロフト　 フローリング　 ディンプルキー　 バルコニー　 ＴＶモニタ付きインターホン　,角部屋　,博多駅近くの物件でこの家賃は、なかなか出ないと思います。,専任媒介,,"
"
2.9,99294554,2022年12月05日,2022年12月19日,福岡市東区三苫７丁目3-19  mapを見る,SAISON21  407,西日本鉄道貝塚線三苫駅 徒歩6分 駅までmap 西日本鉄道貝塚線西鉄新宮駅 徒歩22分 駅までmap 香椎線和白駅 徒歩24分 駅までmap ,21㎡ / 約6.35坪,,1K,,無,,,,空有　7000円,,　,,,無,無,,無,,無,3000円,無,有 日本セーフティー（初回保証料50％（最低保証料20000円)年間更新料12000円（税込））※契約者や条件によっては、内容が変更になる場合があります。,,無,無,鍵交換代：2万2000円,,水道料：2500円 / 月町費：400円 / 月家財保険（緊急サポー：2000円 / 月共益費：3000円 / 月,,1年,,巡回,,ＲＣ,,,地上7階建,4階部分,1997[H9]年3月,空家,即時　,エアコン　 給湯　 トイレ　 バス・トイレ別　 収納スペース　 洗濯機置場　 室内洗濯機置場　 フローリング　 エレベーター　 宅配ボックス　 駐輪場　,事務所使用可　,退去時クリーニング：31900円,代理,,"
"
3.9,99308430,2022年12月05日,2022年12月19日,福岡市東区下原１丁目22-51  mapを見る,サンオークⅡ  307,鹿児島本線九産大前駅 徒歩17分 駅までmap ,壁芯30㎡ / 約9.08坪,,1DK,ＤＫ4.5／洋8, 東,,福岡市立香椎下原小学校　距離549ｍ,福岡市立香椎第3中学校　距離1631ｍ,空有　5500円,,　,,,無,1ヶ月,実費,無,,無,無,無,有 ふれんずサポート保証（学生1万円）※契約者や条件によっては、内容が変更になる場合があります。,支払総額50パーセント,有、18000円、2年、あいおいニッセイ同和損保（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代(入居時)：1万3200円くらしーど24　2年：1万6500円室内消毒代（任意）：1万2100円,,口座振替料：250円 / 月,,2年,,,,ＲＣ,,,地上3階建,3階部分,1997[H9]年2月,空家,即時　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 室内洗濯機置場　 フローリング　 バルコニー　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　,ペット不可　 最上階　,,一般媒介,堀江,"
										TEL：092-663-5066
										メールアドレス：info@global-est.com
"
3.9,97979932,2022年12月06日,2022年12月20日,福岡市城南区茶山１丁目５－１９  mapを見る,アムールシュマン城南  104,福岡市七隈線茶山駅 徒歩2分 駅までmap 福岡市七隈線金山駅 徒歩11分 駅までmap 福岡市七隈線別府駅 徒歩16分 駅までmap ,25.48㎡ / 約7.71坪,,1K,洋8, 南東,,,,無,,　,,,無,無,,無,,無,3000円,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,木造,,,地上2階建,1階部分,2006[H18]年3月,空家,相談　,プロパンガス　 電気　 上水道　 エアコン　 追焚機能　 トイレ　 バス・トイレ別　 シャワー　 シャンプードレッサー　 室内洗濯機置場　 浴室乾燥機　 フローリング　 バルコニー　 ＴＶモニタ付きインターホン　 駐輪場　 ２口コンロ　,,洋室も広くてゆったり使えます。学生さん、もちろん社会人の方にもとってもおすすめです♪,専任媒介,,"
"
2.9,99284099,2022年12月05日,2022年12月19日,福岡市中央区今泉２丁目3番30  mapを見る,メゾン・ド・天神  502,福岡市七隈線薬院大通駅 徒歩6分 駅までmap 西鉄天神大牟田線薬院駅 徒歩9分 駅までmap 福岡市七隈線薬院駅 徒歩9分 駅までmap ,壁芯16.2㎡ / 約4.90坪,,1K,,,,福岡市立警固小学校　距離529ｍ,私立筑紫女学園中学校　距離1198ｍ,空無,,　,,,無,無,,無,,5000円,無,無,有（アーク）※契約者や条件によっては、内容が変更になる場合があります。,,有※契約者や条件によっては、内容が変更になる場合があります。,旧賃料11000円 ,,,水道代：2500円 / 月,,2年,,,,ＳＲＣ,,,地上10階建,5階部分,1986[S61]年9月,空家,即時　,冷房　 暖房　 エアコン　 トイレ　 シャワー　 収納スペース　 フローリング　 バルコニー　 エレベーター　 全居室フローリング　,,,一般媒介,翁長　平日9～19時,"
										TEL：080-6144-2740
"
4,99293915,2022年12月05日,2022年12月19日,福岡市南区塩原１丁目1-29-20  周辺mapを見る,第二地録ビル  206,西鉄天神大牟田線大橋駅 徒歩8分 鹿児島本線竹下駅 徒歩11分 ,30.8㎡ / 約9.32坪,,ワンルーム,洋13.5,,,,,無,,　,,,無,1ヶ月,実費,無,,無,無,3000円,有 全保連またはジェイリース※契約者や条件によっては、内容が変更になる場合があります。,,有※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代：1万8700円,,,,2年,,,,ＲＣ,,,地上5階建,2階部分,1983[S58]年1月,空家,即時　,都市ガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 収納スペース　 ガスコンロ設置可　 室内洗濯機置場　 フローリング　 バルコニー　 ＴＶモニタ付きインターホン　,ペット不可　 事務所使用可　,,一般媒介,,"
"
5.5,99318727,2022年12月05日,2022年12月19日,福岡市中央区平尾１丁目6-24  mapを見る,ラフィネス薬院ウエストタワー  202,福岡市七隈線薬院駅 徒歩6分 駅までmap 西鉄天神大牟田線薬院駅 徒歩7分 駅までmap 福岡市七隈線薬院大通駅 徒歩9分 駅までmap ,壁芯24㎡ / 約7.26坪,,1K,,,,福岡市立高宮小学校　距離655ｍ,私立福岡雙葉中学校　距離1380ｍ,無,,　,,,無,1ヶ月 / 5.5万円,,無,,無,4000円,無,"有 ニッポンインシュア（年間更新事務手数料　10,000円）※契約者や条件によっては、内容が変更になる場合があります。",30105円,有、19000円、2年、-（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料22000円 ,事務手数料：7700円室内消毒代：1万1000円,,24時間安心サポート：880円 / 月口座振替手数料：330円 / 月,,2年,,,,ＲＣ,,,地上11階建,2階部分,2003[H15]年9月,居住中,相談　（2023年1月9日退去予定）,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 収納スペース　 システムキッチン　 洗面所　 洗面台　 室内洗濯機置場　 浴室乾燥機　 エレベーター　 オートロック　 24時間セキュリティ　 ２口コンロ　 シューズボックス　 敷地内ゴミ置き場　,ペット不可　,"・鍵交換代　実費・更新事務手数料20,000円(税別)/2年・短期解約違約金1年未満賃料2ヶ月分（共益費込）、1年以上2年未満賃料1ヶ月分（共益費込）・退去時クリーニング代賃料1ヶ月分（共益費込）　※退去時支払※条件等ご相談可能ですのでお問い合わせ下さい",代理,中川,"
										TEL：090-2395-7066
"
2.9,99302999,2022年12月05日,2022年12月19日,福岡市早良区原４丁目８－８  周辺mapを見る,エスポワールドミ藤崎南  109,福岡市空港線室見駅 徒歩23分 原４丁目バス停 徒歩6分 福岡市七隈線次郎丸駅 徒歩29分 ,16.77㎡ / 約5.07坪,,ワンルーム,洋7.5, 北,,,,空有,,　,,,無,無,,無,,無,無,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＳＲＣ,,,地上6階建,1階部分,1976[S51]年10月,空家,相談　,電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ同　 シャワー　 洗面台　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 駐輪場　 防犯カメラ　,,駐車場の空きについては要確認,専任媒介,,"
"
5,98850647,2022年12月05日,2022年12月19日,福岡市南区井尻１丁目７－７  周辺mapを見る,ジェミニ井尻  405,西鉄天神大牟田線井尻駅 徒歩9分 鹿児島本線笹原駅 徒歩17分 鹿児島本線竹下駅 徒歩23分 ,59.62㎡ / 約18.04坪,,3DK,, 南,,,,空有　6600円,,　,,,無,無,,無,,無,2000円,無,,,有、22000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＲＣ,,,地上5階建,4階部分,1976[S51]年1月,居住中,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 トイレ　 バス・トイレ別　 温水洗浄便座　 ＣＡＴＶ　 バルコニー　 ＴＶモニタ付きインターホン　 駐輪場　 インターネット使い放題　,リノベーション　 南向き　,オールフローリングのタイプのお部屋です！日当たり良好で、洗濯物がしっかり乾きます。専用バルコニーもありお部屋が明るくなりますね！駐車場の空きについては要確認,専任媒介,,"
"
5.2,99287444,2022年12月05日,2022年12月19日,福岡市中央区六本松４丁目3-11  mapを見る,ビジネス・ワン六本松  206,福岡市七隈線六本松駅 徒歩8分 駅までmap 六本松［福銀前］バス停 徒歩7分 ,壁芯24.79㎡ / 約7.50坪,,ワンルーム,, 東,,,,空無,,　,,,無,無,実費,無,,無,3000円,3300円,"有 ジェイリース株式会社（毎月保証料必須、年毎更新料 15,000円）※契約者や条件によっては、内容が変更になる場合があります。",月額総額50％,有、17000円、2年、東京海上ミレア少額短期（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換費用：1万9800円契約事務手数料：5500円,,毎月保証料：1000円 / 月,,2年,,日勤,,ＲＣ,,,地上6階建,2階部分,1994[H6]年3月,空家,即時　,エアコン　 トイレ　 バス・トイレ別　 温水洗浄便座　 ＣＡＴＶ　 収納スペース　 ＩＨクッキングヒーター　 フローリング　 バルコニー　 エレベーター　 オートロック　 駐輪場　 コインランドリー　 オール電化　 和室有　 内廊下　 シューズボックス　 フィットネス施設　 敷地内ＡＥＤ有　 敷地内ゴミ置き場　,ペット相談可　 小型犬可　 猫可　 角部屋　 外観タイル張り　 事務所使用可　,"春入居相談可能！※※詳細問合せ先：092-534-6805※※◆毎月保証料にはお部屋トラブル緊急駆付けサービスと口座振替手数料が含まれています。◆条件変更でペット相談可となります(^^♪□賃料：3,000円ＵＰ□礼金：１か月ＵＰ□退去時清掃代：55,000円（税別）※故意・過失実費◆レンタル可能　※別途料金がかかります！家具家電：セミダブルベッド・ＴＶ(32型)・ＴＶ台・電子レンジ・冷蔵庫(2ドア)・ケトル◆初期費用□鍵交換代　　　１９，８００円（税込）□火災保険料　　１７，０００円（２年）※月額払：800円/月□契約事務手数料　５，５００円（税込）□保証会社保証料　ジェイリース　初回保証料家賃総額の５０％、毎月１，０００円（口座振替手数料と24時間緊急サポート代）　毎年更新料 １５，０００円◆特約事項 □短期解約違約金　2年未満1ヶ月、1年未満2ヶ月 □退去時クリーニング代　　33,000円（税込）□故意・過失実費精算",貸主,,"
										TEL：092-534-6805
"
5,99298323,2022年12月05日,2022年12月19日,福岡市博多区吉塚２丁目17-24  mapを見る,スマートホテル  203,鹿児島本線吉塚駅 徒歩7分 駅までmap ,壁芯19.29㎡ / 約5.84坪,,1K,ロフト, 1.62㎡,,,,無,,　,,,無,1ヶ月,実費,無,,無,3000円,無,有 日本セーフティー株式会社（更新料：月払い800円　※収納代行必須。）※契約者や条件によっては、内容が変更になる場合があります。,総額賃料の50％,有、貸主指定保険加入必須（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,くらしーど24M：550円 / 月,,2年,,巡回,,木造,,,地上2階建,2階部分,2007[H19]年1月,空家,相談　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 収納スペース　 システムキッチン　 室内洗濯機置場　 ロフト　 バルコニー　 ＴＶモニタ付きインターホン　 駐輪場　 出窓　 ２口コンロ　 インターネット使い放題　 内廊下　 シューズボックス　 敷地内ゴミ置き場　,ペット不可　 角部屋　,"【その他初期費用】・鍵交換費：16,500円（税込）・クリーンコート（抗菌施工費）：11,000円（税込）【退去時】・退去時清掃費：33,000円（税込）【更新時】・更新事務手数料：11,000円（税込）/2年毎",代理,,"
"
6.5,99316650,2022年12月05日,2022年12月19日,福岡市中央区平尾４丁目6-4  mapを見る,アビタシオン  ,西鉄天神大牟田線西鉄平尾駅 徒歩8分 山荘通バス停 徒歩1分 駅までmap ,壁芯54.55㎡ / 約16.50坪,,3DK,,,,福岡市立平尾小学校　距離766ｍ,福岡市立平尾中学校　距離1152ｍ,無,,　,,,3.5ヶ月,無,敷引 3.5ヶ月,無,,無,無,無,有 ふれんず宅建保証※契約者や条件によっては、内容が変更になる場合があります。,,有、2年※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＲＣ,,,地上7階建,3階部分,1988[S63]年3月,空家,即時　,都市ガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 収納スペース　 ガスコンロ設置可　 洗面所　 洗面台　 洗濯機置場　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 ＴＶモニタ付きインターホン　 浴室に窓　 和室有　 シューズボックス　 天袋　 押入れ　 キッチンに窓　,ペット不可　 日当り良好　 角部屋　,エアコン1台設置済（サービス設置品です）,専任媒介,,"
"
6.5,99300942,2022年12月05日,2022年12月19日,福岡市中央区今泉２丁目1-7  mapを見る,渡辺ビル  307,福岡市七隈線薬院大通駅 徒歩7分 駅までmap ,壁芯46.8㎡ / 約14.16坪,,2LDK,,,,,,無,,　,,,無,無,実費,無,,無,無,無,有 ふれんず宅建保証※契約者や条件によっては、内容が変更になる場合があります。,家賃等総額の50％,有※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,1年,,,,ＲＣ,,,地上7階建,3階部分,1977[S52]年11月,空家,即時　,都市ガス　 トイレ　 バス・トイレ別　 ガスコンロ設置可　 室内洗濯機置場　 バルコニー　 エレベーター　 和室有　 押入れ　,ペット相談可　 小型犬可　,"ペット（犬のみ）飼育可（礼金2ヶ月必要）鍵交換代（入居時）16,500円町費（年間2,000円：入居後貸主より請求）",一般媒介,,"
"
8.9,98485367,2022年12月06日,2022年12月20日,福岡市東区和白丘２丁目3-48  mapを見る,コアマンション和白丘ネクステージＡ棟  1008,鹿児島本線福工大前駅 徒歩16分 駅までmap 香椎線和白駅 徒歩6分 駅までmap 西日本鉄道貝塚線和白駅 徒歩6分 駅までmap 和白５丁目バス停徒歩約２分,80.49㎡ / 約24.35坪,,4LDK,その他16.4／洋5.1／洋5.1／和6／和6, 東 10.74㎡,,,,空有　8000円,,　,,,1ヶ月,2ヶ月,,無,,無,,無,,,有、22000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,抗菌処理費：1万4000円,,,,2年,,,,ＲＣ,,,地上11階建,10階部分,1998[H10]年11月,空家,相談　,都市ガス　 バス・トイレ別　 ＣＡＴＶ　 ＢＳ端子　 ガスコンロ設置可　 洗面所　 洗面台　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 宅配ボックス　 駐輪場　 24時間セキュリティ　,ペット相談可　 二人入居可　 日当り良好　 閑静住宅街　 分譲タイプ　,,代理,,"
"
5.3,99306931,2022年12月05日,2022年12月19日,福岡市博多区博多駅南３丁目5-27  mapを見る,パークアクシス博多駅南  905,福岡市空港線博多駅 徒歩13分 駅までmap ,壁芯23.3㎡ / 約7.05坪,,1K,洋6.7, 南西,,福岡市立東住吉小学校　距離448ｍ,福岡市立東住吉中学校　距離450ｍ,空有,機械,　,,2ヶ月 ,1ヶ月,無,実費,無,,無,3000円,無,"有 オリコフォレントインシュア（保証会社費用：初回：月額費用の50％、1年ごとに金10,000円）※契約者や条件によっては、内容が変更になる場合があります。",保証会社費用：初回：月額費用の50％,有、10030円、1年、リビングＦＩＴ（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,巡回,,ＲＣ,,,地上12階建地下12階建,9階部分,2007[H19]年3月,空家,相談　,都市ガス　 エアコン　 給湯　 トイレ　 シャワー　 温水洗浄便座　 収納スペース　 洗面所　 洗面台　 シャンプードレッサー　 洗濯機置場　 室内洗濯機置場　 浴室乾燥機　 フローリング　 ディンプルキー　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 24時間換気システム　 インターネット使い放題　,角部屋　 外観タイル張り　,"原則保証会社加入要。角部屋905号は内装前ですが、ご見学可能です。（12月5日現在）内見後にお申込みください。『新型コロナウイルス感染拡大等の影響により、住宅設備機器等の供給遅延が発生しておりますため、入居予定時期等が変更になる場合があります。』・保証会社加入要す。【※法人契約は敷金2ケ月。大手法人契約等は保証会社未加入の場合あり。】 ・保証会社費用：初回：月額費用の50％、1年ごとに金10,000円。 ・火災保険（借家賠保険）は1年約10,030円前後の4プランからお選びいただきます（2年契約2万円前後のプランもご用意しております）・水曜日・日曜日以外は、賃貸管理センター　電話092-711-1731へもお問合せください。・インターネットはＪｃｏｍＷｉｆｉ（事前連絡・設定接続が必要です。）(家賃込みで無料）ＪＲ鹿児島本線「博多」駅徒歩13分角部屋　1Ｋエレベーター２基■周辺環境■サニー駅南店（スーパー、24時間営業）まで約70ｍ（徒歩1分）マルショク駅南店（スーパー）まで約190ｍ（徒歩3分）ファミリーマート博多駅南三丁目店まで約30ｍ（徒歩1分）ドラッグイレブン博多駅南店まで約110ｍ（徒歩2分）セブンイレブン博多駅南店まで約180ｍ（徒歩3分）セブンイレブン博多瑞穂南店まで約190ｍ（徒歩4分）ローソン筑紫通比恵町店まで約210ｍ（徒歩3分）山王公園まで約730ｍ（徒歩10分）",専任媒介,,"
										TEL：092-718-3221
"
5.7,99312777,2022年12月05日,2022年12月19日,福岡市博多区榎田１丁目９－１３  周辺mapを見る,プレステージ東比恵  708,福岡市空港線東比恵駅 徒歩9分 榎田町バス停 徒歩4分 鹿児島本線博多駅 徒歩26分 ,24.88㎡ / 約7.53坪,,1K,洋6.7, 南東,,,,空有　1万1000円,,　,,1万円,無,無,,無,,無,3000円,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＲＣ,,,地上10階建,7階部分,2005[H17]年12月,居住中,相談　,プロパンガス　 電気　 上水道　 下水道　 給湯　 トイレ　 バス・トイレ別　 シャワー　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,,駐車場の空きについては要確認,専任媒介,,"
"
5.5,99295645,2022年12月05日,2022年12月19日,福岡市博多区下川端町8-4  mapを見る,ドリーム川端壱番館  503,福岡市空港線中洲川端駅 徒歩1分 駅までmap ,壁芯25㎡ / 約7.56坪,,1K,洋8／Ｋ2, 北,,,,無,,　,,,無,無,実費,無,,無,,無,,,有※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代：1万9800円ルームケアプラス：3万8500円,,浄水器リース代：1100円 / 月プラスライフ24：990円 / 月水町費：3000円 / 月,,1年,,,,ＲＣ,,,地上10階建,5階部分,2004[H16]年1月,空家,相談　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 収納スペース　 システムキッチン　 洗面台　 洗濯機置場　 室内洗濯機置場　 浴室乾燥機　 フローリング　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 出窓　,閑静住宅街　 バリアフリー　 角部屋　 外観タイル張り　 高齢者相談　,,代理,,"
"
4.9,98568710,2022年12月05日,2022年12月19日,福岡市早良区高取１丁目５－６  mapを見る,レジデンス西新セスト  207,福岡市空港線藤崎駅 徒歩7分 防塁前バス停 徒歩4分 駅までmap 福岡市空港線西新駅 徒歩8分 駅までmap ,24.89㎡ / 約7.53坪,,ワンルーム,洋9.5, 南,,,,空無,,　,,,無,2ヶ月 / 9.8万円,,無,,無,2000円,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＲＣ,,,地上3階建,2階部分,1997[H9]年11月,空家,相談　2022年5月12日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＢＳ端子　 ＩＨクッキングヒーター　 洗面台　 室内洗濯機置場　 フローリング　 照明器具付き　 バルコニー　 オートロック　 宅配ボックス　 駐輪場　 インターネット使い放題　,南向き　,周辺には、スーパーやコンビニ・飲食店・商店街などとても充実しています！大通りから１本入っているので、夜も静かに過ごせます！駐車場の空きについては要確認,専任媒介,,"
"
5.3,97641324,2022年12月06日,2022年12月20日,福岡市中央区今川１丁目１－１  mapを見る,Ｗｅａｌｔｈ２１．Ｙａｏｊｉ  411,福岡市空港線唐人町駅 徒歩1分 唐人町バス停 徒歩2分 駅までmap 福岡市空港線大濠公園駅 徒歩10分 駅までmap ,24㎡ / 約7.26坪,,1K,洋7.7, 東,,,,無,,　,,,無,1ヶ月 / 5.3万円,,無,,無,3000円,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＳＲＣ,,,地上9階建,4階部分,2000[H12]年3月,居住中,相談　,都市ガス　 電気　 上水道　 下水道　 エアコン　 給湯　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 ＣＳ　 洗面台　 室内洗濯機置場　 フローリング　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 インターネット使い放題　 防犯カメラ　,,,専任媒介,,"
"
5.8,99308001,2022年12月05日,2022年12月08日,福岡市南区大楠１丁目32-11  mapを見る,第7川崎ビル  506,西鉄天神大牟田線高宮駅 徒歩9分 駅までmap 西鉄天神大牟田線西鉄平尾駅 徒歩14分 駅までmap 西鉄天神大牟田線大橋駅 徒歩24分 駅までmap ,壁芯27㎡ / 約8.17坪,,ワンルーム,,,,,,無,,　,,,無,2ヶ月,実費,無,,無,無,300円,無,,有、17000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代：1万6500円退去時清掃代：1万6500円,,,,2年,,,,ＲＣ,,,地上7階建,5階部分,1991[H3]年4月,空家,相談　,都市ガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 収納スペース　 システムキッチン　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 ＴＶモニタ付きインターホン　 出窓　 独立洗面脱衣所　 全居室フローリング　 インターネット対応　,ペット不可　 角部屋　,"〇初期費用　礼金　　　116,000円　鍵代　　　16,500円　清掃代　　16,500円　保険　　　17,000円/2年　保証会社　50％事務手数料ありません。",貸主,,"
"
