家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先,市区
5.5,99318727,2022年12月05日,2022年12月19日,福岡市中央区平尾１丁目6-24  mapを見る,ラフィネス薬院ウエストタワー  202,福岡市七隈線薬院駅 徒歩6分 駅までmap 西鉄天神大牟田線薬院駅 徒歩7分 駅までmap 福岡市七隈線薬院大通駅 徒歩9分 駅までmap ,壁芯24㎡ / 約7.26坪,nan,1K,nan,nan,nan,福岡市立高宮小学校　距離655ｍ,私立福岡雙葉中学校　距離1380ｍ,無,nan,　,nan,nan,無,1ヶ月 / 5.5万円,nan,無,nan,無,4000円,無,"有 ニッポンインシュア（年間更新事務手数料　10,000円）※契約者や条件によっては、内容が変更になる場合があります。",30105円,有、19000円、2年、-（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料22000円 ,事務手数料：7700円室内消毒代：1万1000円,nan,24時間安心サポート：880円 / 月口座振替手数料：330円 / 月,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上11階建,2階部分,2003[H15]年9月,居住中,相談　（2023年1月9日退去予定）,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 収納スペース　 システムキッチン　 洗面所　 洗面台　 室内洗濯機置場　 浴室乾燥機　 エレベーター　 オートロック　 24時間セキュリティ　 ２口コンロ　 シューズボックス　 敷地内ゴミ置き場　,ペット不可　,"・鍵交換代　実費・更新事務手数料20,000円(税別)/2年・短期解約違約金1年未満賃料2ヶ月分（共益費込）、1年以上2年未満賃料1ヶ月分（共益費込）・退去時クリーニング代賃料1ヶ月分（共益費込）　※退去時支払※条件等ご相談可能ですのでお問い合わせ下さい",代理,中川,"
										TEL：090-2395-7066
",中央
5.2,99287444,2022年12月05日,2022年12月19日,福岡市中央区六本松４丁目3-11  mapを見る,ビジネス・ワン六本松  206,福岡市七隈線六本松駅 徒歩8分 駅までmap 六本松［福銀前］バス停 徒歩7分 ,壁芯24.79㎡ / 約7.50坪,nan,ワンルーム,nan, 東,nan,nan,nan,空無,nan,　,nan,nan,無,無,実費,無,nan,無,3000円,3300円,"有 ジェイリース株式会社（毎月保証料必須、年毎更新料 15,000円）※契約者や条件によっては、内容が変更になる場合があります。",月額総額50％,有、17000円、2年、東京海上ミレア少額短期（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換費用：1万9800円契約事務手数料：5500円,nan,毎月保証料：1000円 / 月,nan,2年,nan,日勤,nan,ＲＣ,nan,nan,地上6階建,2階部分,1994[H6]年3月,空家,即時　,エアコン　 トイレ　 バス・トイレ別　 温水洗浄便座　 ＣＡＴＶ　 収納スペース　 ＩＨクッキングヒーター　 フローリング　 バルコニー　 エレベーター　 オートロック　 駐輪場　 コインランドリー　 オール電化　 和室有　 内廊下　 シューズボックス　 フィットネス施設　 敷地内ＡＥＤ有　 敷地内ゴミ置き場　,ペット相談可　 小型犬可　 猫可　 角部屋　 外観タイル張り　 事務所使用可　,"春入居相談可能！※※詳細問合せ先：092-534-6805※※◆毎月保証料にはお部屋トラブル緊急駆付けサービスと口座振替手数料が含まれています。◆条件変更でペット相談可となります(^^♪□賃料：3,000円ＵＰ□礼金：１か月ＵＰ□退去時清掃代：55,000円（税別）※故意・過失実費◆レンタル可能　※別途料金がかかります！家具家電：セミダブルベッド・ＴＶ(32型)・ＴＶ台・電子レンジ・冷蔵庫(2ドア)・ケトル◆初期費用□鍵交換代　　　１９，８００円（税込）□火災保険料　　１７，０００円（２年）※月額払：800円/月□契約事務手数料　５，５００円（税込）□保証会社保証料　ジェイリース　初回保証料家賃総額の５０％、毎月１，０００円（口座振替手数料と24時間緊急サポート代）　毎年更新料 １５，０００円◆特約事項 □短期解約違約金　2年未満1ヶ月、1年未満2ヶ月 □退去時クリーニング代　　33,000円（税込）□故意・過失実費精算",貸主,nan,"
										TEL：092-534-6805
",中央
6.5,99316650,2022年12月05日,2022年12月19日,福岡市中央区平尾４丁目6-4  mapを見る,アビタシオン  ,西鉄天神大牟田線西鉄平尾駅 徒歩8分 山荘通バス停 徒歩1分 駅までmap ,壁芯54.55㎡ / 約16.50坪,nan,3DK,nan,nan,nan,福岡市立平尾小学校　距離766ｍ,福岡市立平尾中学校　距離1152ｍ,無,nan,　,nan,nan,3.5ヶ月,無,敷引 3.5ヶ月,無,nan,無,無,無,有 ふれんず宅建保証※契約者や条件によっては、内容が変更になる場合があります。,nan,有、2年※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上7階建,3階部分,1988[S63]年3月,空家,即時　,都市ガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 収納スペース　 ガスコンロ設置可　 洗面所　 洗面台　 洗濯機置場　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 ＴＶモニタ付きインターホン　 浴室に窓　 和室有　 シューズボックス　 天袋　 押入れ　 キッチンに窓　,ペット不可　 日当り良好　 角部屋　,エアコン1台設置済（サービス設置品です）,専任媒介,nan,"
",中央
6.5,99300942,2022年12月05日,2022年12月19日,福岡市中央区今泉２丁目1-7  mapを見る,渡辺ビル  307,福岡市七隈線薬院大通駅 徒歩7分 駅までmap ,壁芯46.8㎡ / 約14.16坪,nan,2LDK,nan,nan,nan,nan,nan,無,nan,　,nan,nan,無,無,実費,無,nan,無,無,無,有 ふれんず宅建保証※契約者や条件によっては、内容が変更になる場合があります。,家賃等総額の50％,有※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,1年,nan,nan,nan,ＲＣ,nan,nan,地上7階建,3階部分,1977[S52]年11月,空家,即時　,都市ガス　 トイレ　 バス・トイレ別　 ガスコンロ設置可　 室内洗濯機置場　 バルコニー　 エレベーター　 和室有　 押入れ　,ペット相談可　 小型犬可　,"ペット（犬のみ）飼育可（礼金2ヶ月必要）鍵交換代（入居時）16,500円町費（年間2,000円：入居後貸主より請求）",一般媒介,nan,"
",中央
5.3,97641324,2022年12月06日,2022年12月20日,福岡市中央区今川１丁目１－１  mapを見る,Ｗｅａｌｔｈ２１．Ｙａｏｊｉ  411,福岡市空港線唐人町駅 徒歩1分 唐人町バス停 徒歩2分 駅までmap 福岡市空港線大濠公園駅 徒歩10分 駅までmap ,24㎡ / 約7.26坪,nan,1K,洋7.7, 東,nan,nan,nan,無,nan,　,nan,nan,無,1ヶ月 / 5.3万円,nan,無,nan,無,3000円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上9階建,4階部分,2000[H12]年3月,居住中,相談　,都市ガス　 電気　 上水道　 下水道　 エアコン　 給湯　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 ＣＳ　 洗面台　 室内洗濯機置場　 フローリング　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 インターネット使い放題　 防犯カメラ　,nan,nan,専任媒介,nan,"
",中央
4.95,99218360,2022年12月05日,2022年12月19日,福岡市中央区今泉１丁目21-9  mapを見る,クーテンビル ,西鉄天神大牟田線西鉄福岡（天神）駅 徒歩6分 駅までmap 福岡市七隈線天神南駅 徒歩6分 駅までmap 福岡市空港線天神駅 徒歩9分 駅までmap ,壁芯29.75㎡ / 約9.00坪,nan,1DK,洋6／ＤＫ7, 南 2.1㎡,nan,福岡市立警固小学校　距離924ｍ,福岡市立舞鶴中学校　距離1410ｍ,無,nan,　,nan,nan,無,3ヶ月,実費,無,nan,無,無,無,有 全保連※契約者や条件によっては、内容が変更になる場合があります。,家賃100％,有、20000円、2年、火災保険（例）※契約者や条件によっては、内容が変更になる場合があります。,無,水道代定額（月額）：2750円,nan,nan,nan,2年,nan,nan,nan,鉄骨造,nan,nan,地上5階建,5階部分,1986[S61]年8月,空家,相談　,エアコン　 トイレ　 シャワー　 フローリング　 バルコニー　 全居室フローリング　,日当り良好　 事務所使用可　 最上階　,事務所兼自宅としてもご利用可！,貸主,nan,"
",中央
32.0,99259665,2022年12月05日,2022年12月19日,福岡市中央区桜坂３丁目５－５４  周辺mapを見る,ザ・パークハウス桜坂サンリヤン  1622,福岡市七隈線桜坂駅 徒歩3分 福岡市七隈線薬院大通駅 徒歩10分 西鉄天神大牟田線薬院駅 徒歩18分 ,92.43㎡ / 約27.96坪,nan,4LDK,ＬＤＫ19／洋6.5／洋6／洋5／和4.5, 南,nan,nan,nan,無,nan,　,nan,nan,1ヶ月 / 32万円,2ヶ月 / 64万円,nan,無,nan,無,無,無,nan,nan,有、22000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上23階建,16階部分,2018[H30]年8月,空家,相談　2022年8月31日,都市ガス　 電気　 上水道　 下水道　 床暖房　 給湯　 追焚機能　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 サウナ　 ＣＡＴＶ　 ウォークインクローゼット　 システムキッチン　 カウンターキッチン　 ディスポーザー　 シャンプードレッサー　 室内洗濯機置場　 浴室乾燥機　 フローリング　 複層ガラス　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,分譲タイプ　 南向き　,圧巻の外観です。ぜひご覧ください。,専任媒介,nan,"
",中央
4.4,99306705,2022年12月05日,2022年12月19日,福岡市中央区港２丁目1-24  mapを見る,エステートモア天神ワーフ  806,福岡市空港線大濠公園駅 徒歩8分 駅までmap 福岡市空港線赤坂駅 徒歩16分 駅までmap 福岡市空港線唐人町駅 徒歩18分 駅までmap ,壁芯22.76㎡ / 約6.88坪,nan,1K,nan,nan,nan,nan,nan,無,nan,　,nan,nan,無,無,実費,無,nan,無,3000円,無,有 全保連※契約者や条件によっては、内容が変更になる場合があります。,家賃等　50％、100％,有、18000円、2年、フレックス少額短期保険（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料22000円 ,nan,nan,自治会費：3600円 / 年住まいレスキュー24：880円 / 月,nan,2年,nan,日勤,nan,ＳＲＣ,nan,nan,地上13階建,8階部分,1996[H8]年3月,空家,即時　,都市ガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 収納スペース　 システムキッチン　 洗面台　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 駐輪場　 防犯カメラ　 防犯セキュリティ　 火災報知機　 全居室フローリング　 カードキー　 敷地内ゴミ置き場　,ペット不可　 日当り良好　 閑静住宅街　 分譲タイプ　 外観タイル張り　 眺望良好　,"■契約期間2年（更新有り）■更新事務手数料　22,000円■短期解約違約金　1年未満の場合は家賃2ヵ月分、2年未満の場合は家賃1ヵ月分■保険料（期間2年）　18,000円■鍵交換　22,000円■保証料（全保連）　家賃等50％、100％■清掃代（退去時）　48,400円■契約事務手数料　11,000円",代理,山本,"
										TEL：090-5022-0689
										メールアドレス：yamamoto@yscorp.net
",中央
6.8,98142121,2022年12月06日,2022年12月20日,福岡市中央区平尾１丁目１３－８  mapを見る,エスティメゾン薬院  1018,福岡市七隈線薬院駅 徒歩6分 新川町バス停 徒歩3分 駅までmap 西鉄天神大牟田線薬院駅 徒歩6分 駅までmap ,27.4㎡ / 約8.29坪,nan,1DK,ＤＫ5.7／洋5.2, 北西,nan,nan,nan,空有　2万2000円,nan,　,nan,2万円,無,無,nan,無,nan,無,3000円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上15階建,10階部分,2006[H18]年2月,空家,相談　2022年10月25日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 ＢＳ端子　 ＣＳ　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 照明器具付き　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 独立洗面脱衣所　 防犯カメラ　,nan,広々とした駐輪場もあり、敷地内駐車場も確保出来ます。宅配ボックスや自動販売機もございます♪設備も立地も充実で単身さんにおすすめのマンションです★駐車場の空きについては要確認,専任媒介,nan,"
",中央
4.6,99289854,2022年12月06日,2022年12月20日,福岡市中央区清川３丁目２７－１１  mapを見る,アリビオ天神南  308,西鉄天神大牟田線西鉄平尾駅 徒歩9分 高砂２丁目バス停 徒歩1分 駅までmap 福岡市七隈線渡辺通駅 徒歩10分 駅までmap ,23.43㎡ / 約7.09坪,nan,2K,洋4.5／洋4, 南西,nan,nan,nan,空無,nan,　,nan,nan,無,1ヶ月 / 4.6万円,nan,無,nan,無,3000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上12階建,3階部分,2003[H15]年9月,空家,相談　,電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 システムキッチン　 洗面台　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 コインランドリー　 ２口コンロ　 インターネット使い放題　 防犯カメラ　,リノベーション　,西鉄平尾駅までは徒歩11分です。近くには飲食店やコンビニあるため生活を送りやすいです。駐車場の空きについては要確認,専任媒介,nan,"
",中央
3.2,99267891,2022年12月05日,2022年12月19日,福岡市中央区大手門１丁目8-20  mapを見る,朝日プラザ大手門  803,福岡市空港線大濠公園駅 徒歩5分 駅までmap 福岡市空港線赤坂駅 徒歩13分 駅までmap 福岡市七隈線六本松駅 徒歩22分 駅までmap ,壁芯17.82㎡ / 約5.39坪,nan,ワンルーム,nan,nan,nan,福岡市立赤坂小学校　距離1333ｍ,福岡市立警固中学校　距離1070ｍ,空無,nan,　,nan,nan,無,無,nan,無,nan,5000円,無,無,有 アーク※契約者や条件によっては、内容が変更になる場合があります。,nan,有※契約者や条件によっては、内容が変更になる場合があります。,旧賃料11000円 ,nan,nan,nan,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上11階建,8階部分,1985[S60]年10月,空家,即時　,都市ガス　 エアコン　 ＣＡＴＶ　 ＢＳ端子　 収納スペース　 システムキッチン　 フローリング　 バルコニー　 エレベーター　 全居室フローリング　,nan,nan,一般媒介,翁長　平日9～19時,"
										TEL：080-6144-2740
",中央
4.5,99242814,2022年12月05日,2022年12月19日,福岡市中央区今泉２丁目4-13  mapを見る,サンライト警固ビル  601,福岡市七隈線薬院大通駅 徒歩5分 駅までmap 西鉄天神大牟田線薬院駅 徒歩9分 駅までmap 西鉄天神大牟田線西鉄福岡（天神）駅 徒歩14分 駅までmap ,15.7㎡ / 約4.75坪,nan,1K,nan, 西,nan,nan,nan,無,nan,　,nan,nan,無,無,実費,無,nan,無,5000円,無,有 ジェイリース※契約者や条件によっては、内容が変更になる場合があります。,"60%（1年毎10,000円更新）、100％（更新なし）両プランとも400円/月（引落手数料含む）",無,旧賃料22000円 ,nan,nan,町費：300円 / 月くらしーど24M：800円 / 月火災保険料：800円 / 月,nan,2年,nan,巡回,nan,ＲＣ,nan,nan,地上7階建,6階部分,1984[S59]年7月,空家,相談　,都市ガス　 エアコン　 給湯　 トイレ　 バス・トイレ同　 シャワー　 ＣＡＴＶ　 収納スペース　 ガスコンロ設置可　 洗面台　 洗濯機置場　 フローリング　 バルコニー　 敷地内ゴミ置き場　,ペット不可　 日当り良好　 角部屋　,"■初期費用■【室内消毒費】16,500円（内消費税1,500円）【鍵交換費用】16,500円（内消費税1,500円）【事務手数料】11,000円（内消費税1,000円）【保証会社】ジェイリース60％（更新料あり10,000円・月額400円）又は100％（更新料なし・月額400円）　　　　　　その他保証会社有 　学生プラン1万円【契約期間】2年契約【更新手数料】2年毎の22,000円（内消費税2,000円）【その他】□契約内容□・契約開始日より12ヶ月未満での解約は家賃2ヶ月分、　24ヶ月未満での解約は家賃1ヶ月分を申し受けます。・退去時ハウスクリーニング代として賃料1ヶ月分を申し受けます。+故意過失による損傷損耗は実費。・連帯保証人様の極度額は賃料・共益費を合算した　36ヵ月分となります。お気軽にお問い合わせください。業者様空室募集専用サイト　⇒　https://inet.bukkaku.jp/営業時間10：00～18：00店休日　毎週日曜日　（年末年始・GW・お盆　はお休みします）",代理,山本,"
										TEL：092-737-7051
",中央
7.5,98368617,2022年12月06日,2022年12月20日,福岡市中央区平尾１丁目１３－８  mapを見る,エスティメゾン薬院  1405,福岡市七隈線薬院駅 徒歩6分 新川町バス停 徒歩3分 駅までmap 西鉄天神大牟田線薬院駅 徒歩6分 駅までmap ,32.83㎡ / 約9.93坪,nan,2K,Ｋ3／洋6.6／洋3.5, 北東,nan,nan,nan,空有　2万2000円,nan,　,nan,2万円,無,無,nan,無,nan,無,3000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上15階建,14階部分,2006[H18]年2月,空家,相談　2022年11月30日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 ＢＳ端子　 ＣＳ　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 照明器具付き　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 独立洗面脱衣所　 防犯カメラ　,nan,駐車場の空きについては要確認,専任媒介,nan,"
",中央
3.8,99157214,2022年12月05日,2022年12月19日,福岡市中央区荒戸２丁目5-31  mapを見る,ピュアドームデイス西公園  402,福岡市空港線大濠公園駅 徒歩6分 駅までmap 福岡市空港線唐人町駅 徒歩10分 駅までmap 福岡市空港線赤坂駅 徒歩19分 駅までmap ,18㎡ / 約5.45坪,nan,1K,nan, 4.5㎡,nan,nan,nan,無,nan,　,nan,nan,無,無,nan,無,nan,無,3000円,無,有 確認ください（全保連：月額合計100％ジェイリース：月額合計80％日本セーフティ：月額合計80％～100％）※契約者や条件によっては、内容が変更になる場合があります。,nan,有、17000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代：1万6500円,nan,共益費：3000円 / 月シード24：840円 / 月口座振替手数料：400円 / 月,nan,1年,nan,nan,nan,ＲＣ,nan,nan,地上10階建,4階部分,1995[H7]年8月,空家,即時　,都市ガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 収納スペース　 洗濯機置場　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 出窓　 シューズボックス　,分譲タイプ　,退去時クリーニング：38000円,代理,nan,"
",中央
2.0,99279174,2022年12月06日,2022年12月20日,福岡市中央区梅光園１丁目３－１  周辺mapを見る,サンフラワー梅光園  301,福岡市七隈線六本松駅 徒歩5分 梅光園１丁目バス停 徒歩1分 福岡市七隈線別府駅 徒歩9分 福岡市七隈線別府駅 徒歩9分 ,19.44㎡ / 約5.88坪,nan,1K,和 4.2,nan,nan,nan,nan,無,nan,　,nan,nan,無,無,nan,無,nan,無,無,2500円,nan,nan,有、10000円、1年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,1年,nan,nan,nan,鉄骨造,nan,nan,地上3階建,3階部分,1984[S59]年2月,空家,即時　,エアコン　 給湯　 バス・トイレ同　 シャワー　 収納スペース　 バルコニー　,nan,nan,代理,nan,"
",中央
4.1,99269703,2022年12月05日,2022年12月19日,福岡市中央区谷２丁目19-8-2  mapを見る,ベネフィスタウン六本松Ｖ  103,福岡市七隈線桜坂駅 徒歩9分 駅までmap 福岡市七隈線六本松駅 徒歩11分 駅までmap 福岡市七隈線別府駅 徒歩17分 駅までmap ,20.18㎡ / 約6.10坪,nan,1K,洋6／ロフト4,nan,nan,nan,nan,無,nan,　,nan,nan,無,無,nan,無,nan,無,3000円,無,"有 全保連（継続保証料:1,200円/月・口振料含む）※契約者や条件によっては、内容が変更になる場合があります。",総賃料の50%・学生30%,有※契約者や条件によっては、内容が変更になる場合があります。,旧賃料11000円 ,鍵交換代：1万8700円消毒代：1万4300円初回保証料：2万2950円,nan,安心サポート：1700円 / 月月額保証料：1200円 / 月,nan,1年,nan,nan,nan,木造,nan,nan,地上2階建,1階部分,2008[H20]年3月,居住中,即時　,冷房　 暖房　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 収納スペース　 床下収納　 ガスコンロ設置可　 室内洗濯機置場　 ロフト　 フローリング　 バルコニー　 ＴＶモニタ付きインターホン　 出窓　 独立洗面脱衣所　 防犯カメラ　 全居室フローリング　 インターネット対応　 シューズボックス　 敷地内ゴミ置き場　,閑静住宅街　 保証人不要　,"写真・間取りは別部屋参照【更新手続き】自動更新・更新事務手数料…11,000円（税込）/1年【特約事項】・短期解約違約金：12ヶ月未満…賃料の2ヶ月分　12ヶ月以上24ヶ月未満…賃料の1ヶ月分・退去時費用：内装負担金…賃料の1ヶ月分　退去精算事務手数料…3,300円（税込）　　　　　　　※故意過失実費　　　　　　　※退去時支払い・解約予告：30日前申請・延滞請求業費：1,100円（税込）/1回・アーウィン安心サポート：月額1,700円（家財保険＋24H安心サポート）※加入必須・精算方式：敷引方式【その他】・間取り・内装は、現状を優先させていただきます。予めご了承いただきすようお願いいたします。・保証会社の審査次第で100％へ変更になることもございます。",代理,森,"
										TEL：092-739-0007
",中央
6.8,98619085,2022年12月06日,2022年12月20日,福岡市中央区平尾１丁目１３－８  mapを見る,エスティメゾン薬院  1117,福岡市七隈線薬院駅 徒歩6分 新川町バス停 徒歩3分 駅までmap 西鉄天神大牟田線薬院駅 徒歩6分 駅までmap ,27.4㎡ / 約8.29坪,nan,1DK,ＬＤＫ5.4／洋5.2, 北西,nan,nan,nan,空有　2万2000円,nan,　,nan,2万円,無,無,nan,無,nan,無,3000円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上15階建,11階部分,2006[H18]年2月,空家,相談　2022年7月13日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 ＢＳ端子　 ＣＳ　 シャンプードレッサー　 室内洗濯機置場　 ロフト　 フローリング　 照明器具付き　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 独立洗面脱衣所　 防犯カメラ　,フリーレント　,広々とした駐輪場もあり、敷地内駐車場も確保出来ます。宅配ボックスや自動販売機もございます♪設備も立地も充実で単身さんにおすすめのマンションです★駐車場の空きについては要確認,専任媒介,nan,"
",中央
3.8,99220306,2022年12月05日,2022年12月19日,福岡市中央区荒戸１丁目10-13  mapを見る,ルエメゾンロワール西公園Ⅲ-1  508,福岡市空港線大濠公園駅 徒歩8分 駅までmap ,壁芯19.88㎡ / 約6.01坪,nan,ワンルーム,洋6, 西,nan,nan,nan,空無,nan,　,nan,nan,無,無,実費,無,nan,無,無,無,有 ジェイリース株式会社、全保連株式会社（100%の場合 年間保証委託料無し、50%の場合 年間保証委託料1万円(１年毎））※契約者や条件によっては、内容が変更になる場合があります。,賃料総額の100％or50%,有、19000円、2年、新ハトマーク補償ワイド（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換費用：2万2000円,nan,口座振替手数料：220円 / 月水道代定額 組合徴収：2500円 / 月,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上8階建,5階部分,1990[H2]年11月,空家,相談　,トイレ　 バス・トイレ別　 シャワー　 収納スペース　 ＩＨクッキングヒーター　 洗面台　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 カードキー　 シューズボックス　,閑静住宅街　 分譲タイプ　 外観タイル張り　,"【短期解約違約金】1年未満2カ月、2年未満1カ月【更新事務手数料】自動更新　無料【解約予告】１ヶ月前Jリース学生プラン有♪（初回保証料15,000円　一年毎更新料無し）共用部・水道代関係は弊社担当部署(092-781-7770)までお問合せ下さいますよう宜しくお願い致します。",貸主,nan,"
										TEL：092-738-5777
",中央
6.6,99315448,2022年12月05日,2022年12月19日,福岡市中央区白金１丁目１０－３０  mapを見る,ハイネス白金  205,西鉄天神大牟田線薬院駅 徒歩7分 高砂バス停 徒歩5分 駅までmap 西鉄天神大牟田線西鉄平尾駅 徒歩10分 駅までmap ,45.86㎡ / 約13.87坪,nan,2DK,nan,nan,nan,nan,nan,空有　1万6500円,nan,　,nan,nan,無,2ヶ月 / 13.2万円,nan,無,nan,無,4000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上6階建,2階部分,1987[S62]年8月,居住中,相談　,都市ガス　 電気　 上水道　 下水道　 給湯　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 室内洗濯機置場　 エレベーター　 駐輪場　 独立洗面脱衣所　,nan,駐車場の空きについては要確認,専任媒介,nan,"
",中央
4.0,99302302,2022年12月05日,2022年12月19日,福岡市中央区六本松４丁目4-12  mapを見る,エステート・モア六本松Ⅱ  205,福岡市七隈線六本松駅 徒歩4分 駅までmap 福岡市七隈線別府駅 徒歩11分 駅までmap 福岡市七隈線桜坂駅 徒歩12分 駅までmap ,21.9㎡ / 約6.62坪,nan,1K,nan, 3.47㎡,nan,nan,nan,無,nan,　,nan,nan,無,無,nan,無,nan,無,3000円,無,有 確認ください（全保連：月額合計100％ジェイリース：月額合計80％日本セーフティ：月額合計80％～100％）※契約者や条件によっては、内容が変更になる場合があります。,nan,有、17000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代：1万6500円,nan,共益費：3000円 / 月シード24：840円 / 月口座振替手数料：400円 / 月,nan,1年,nan,nan,nan,ＲＣ,nan,nan,地上6階建,2階部分,1988[S63]年1月,空家,即時　,エアコン　 給湯　 トイレ　 バス・トイレ別　 収納スペース　 洗面所　 洗濯機置場　 室内洗濯機置場　 バルコニー　 オール電化　,nan,退去時クリーニング：40000円,代理,nan,"
",中央
6.65,99315450,2022年12月05日,2022年12月19日,福岡市中央区春吉１丁目１１－５２  mapを見る,ＨＭリバーサイド天神  903,福岡市七隈線渡辺通駅 徒歩7分 駅までmap 西鉄天神大牟田線薬院駅 徒歩10分 駅までmap 福岡市七隈線天神南駅 徒歩14分 駅までmap ,25.5㎡ / 約7.71坪,nan,1K,洋6.8, 南,nan,nan,nan,空有　1万4300円,nan,　,nan,1万3000円,無,無,nan,0.6万円 ,nan,無,4500円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上14階建,9階部分,2017[H29]年1月,居住中,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＢＳ端子　 システムキッチン　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,南向き　,駐車場の空きについては要確認,専任媒介,nan,"
",中央
